case_idx,example_id,story_id,ground_truth,prediction,pattern,num_iterations,premises,conclusion,root_cause_category,error_description,problematic_axiom
36,621,219,True,Uncertain,Uncertain → True,1,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,FORMALIZE_INCORRECTLY,"The axiom 'composers_write' is incorrectly formalized. It should imply that if someone writes a music piece, they are a composer, not the other way around.",N/A
40,928,350,True,Uncertain,Uncertain → True,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is evocative and dreamy.,FORMALIZE_INCORRECTLY,"Axiom A6 incorrectly implies that if a design by Max is adored and interesting, then it must be brutalist and evocative, which contradicts the premises.",N/A
41,929,350,False,True,True → False,2,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is either evocative or dreamy.,FORMALIZE_INCORRECTLY,"Axiom A6 is incorrectly formalized. It should state that if a design by Max is brutalist and evocative, then it has interesting geometries, not the other way around.",N/A
46,456,159,True,Uncertain,Uncertain → True,1,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,MISSING_PREMISES,"The axiom R1 requires that James is a student to conclude his favorite season is summer, but there is no axiom stating that James is a student.",N/A
119,441,151,False,Uncertain,Uncertain → False,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",Barutin Cove is not located in Antarctica.,MISSING_PREMISES,"The premises state that Antarctica is located on the South Shetland Islands, but this is not represented in the axioms. This missing premise leads to the inability to conclude that Barutin Cove is located in Antarctica.",N/A
118,440,151,True,Uncertain,Uncertain → True,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",There is at least one cove in Antarctica named after a place in Bulgaria.,FORMALIZE_INCORRECTLY,"The axiom F6 is incorrectly formalized with the wrong implication direction, stating that Antarctica is located in the South Shetland Islands instead of the reverse.",N/A
122,787,315,False,Uncertain,Uncertain → False,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is a Solo EV.,FORMALIZE_INCORRECTLY,"Axiom R5 is incorrectly formalized. The premise states a conditional relationship, but the axiom does not capture the intended logical implication correctly.",N/A
123,788,315,True,Uncertain,Uncertain → True,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is not a Solo EV.,FORMALIZE_INCORRECTLY,"Axiom A5 is incorrectly formalized; it should reflect the logical implication that if John's car is not a Tesla Model 3, then it must be a single-seat electric car.",N/A
197,1326,459,True,Uncertain,Uncertain → True,1,"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi does not bark and he is not a dog.,FORMALIZE_INCORRECTLY,"The axiom H7 is incorrectly formalized. It should state that if KiKi is not terricolous and does not have legs, then KiKi neither jumps nor has legs.",N/A
196,1325,459,False,Uncertain,Uncertain → False,2,"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi is a barking dog.,FORMALIZE_INCORRECTLY,"Axiom A7 is incorrectly formalized; it should imply that if KiKi is not terricolous and does not have legs, then it neither jumps nor has legs.",N/A
128,847,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John does not have a larger family.,FORMALIZE_INCORRECTLY,"Axiom A5 is incorrectly formalized. It should imply that if John makes wedding plans, then he is engaged, not the other way around.",N/A
202,308,101,Uncertain,True,True → Uncertain,1,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,FORMALIZE_INCORRECTLY,"The axiom AiltonLoanedBraga incorrectly implies that Ailton was loaned to Braga, but it should reflect the uncertainty of the conclusion.",N/A
130,849,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John neither has a larger family nor does he invite others to his wedding.,FORMALIZE_INCORRECTLY,"Axiom A5 is incorrectly formalized; it should imply that if John is engaged, then he does not invite others, not just friends.",N/A
127,846,330,False,Uncertain,Uncertain → False,2,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John has a larger family.,FORMALIZE_INCORRECTLY,"Axiom A5 is incorrectly formalized. It should state that if John makes wedding plans, then he is not engaged, but it incorrectly states the reverse implication.",N/A
70,819,322,Uncertain,True,True → Uncertain,1,"All growth stocks are bought to earn profits from rapid price appreciation.
If the stock price is bought to earn profits from rapid price appreciation, then it is not suitable for a retirement fund.
Some stocks are growth stocks.
All mature stocks are suitable for a retirement fund.
KO is a mature s",KO is a stock.,FORMALIZE_INCORRECTLY,"The axiom KO_stock is incorrectly formalized. It should be derived from the premises, not stated as an axiom.",N/A
140,1328,460,False,Uncertain,Uncertain → False,1,"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of ","""Hachi: A dog's Tale"" contains excessive erotic and violent content or is in the ""Frozen"" series or both.",FORMALIZE_INCORRECTLY,The axiom H_disj incorrectly formalizes the premise about 'Hachi: A dog's Tale' being either a family-friendly animated film or appropriate for all ages. The direction of implication is incorrect.,N/A
75,979,368,Uncertain,False,False → Uncertain,1,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjo",Hannah needs to earn money to help pay for her college tuition.,AXIOMATIZE_CONTRADICTION,"The axiom H_work_and_cond contains a self-negating pattern where it states that if Hannah needs money, then she does not need money, which is a logical contradiction.",N/A
77,981,368,False,True,True → False,1,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjo","Hannah is at Mary's school and she either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",FORMALIZE_INCORRECTLY,"The axiom R1 is incorrectly formalized with the wrong implication direction, leading to an incorrect proof.",N/A
83,754,306,False,True,True → False,1,"If a restaurant is listed in Yelp’s recommendations, then the restaurant has not received many negative reviews.
All restaurants with a rating greater than four are listed in Yelp’s recommendations.
Some restaurants that do not provide take-out service receive many negative reviews.
All restaurants ","If the Hamden Plaza Subway store provides take-out service and receives many negative reviews, then its rating is greater than 4 and it does not provide take-out service.",AXIOMATIZE_CONTRADICTION,"The proof exploits a logical contradiction by deriving a false statement from the axioms, specifically using the contradiction between having many negative reviews and being listed on Yelp.",N/A
