Example_ID,Ground_Truth,Prediction,Pattern,Premises,Conclusion,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
1014,Uncertain,True,Uncertain → True,"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.",Bonnie performs in school talent shows often.,line 28,AXIOMATIZES_CONCLUSION,"The axiom 'bonnie_performs' directly asserts that Bonnie performs often, which is the conclusion we are trying to prove.",axiom bonnie_performs : PerformsOften Bonnie
1208,Uncertain,True,Uncertain → True,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James has lunch in the company.,line 23,AXIOMATIZES_CONCLUSION,"The axiom 'james_lunch_in_company' directly asserts the conclusion that James has lunch in the company, which should be derived instead.",axiom james_lunch_in_company : LunchInCompanyBuilding James
1209,Uncertain,True,Uncertain → True,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James does not have lunch in the company.,line 38,AXIOMATIZES_CONCLUSION,The axiom 'james_not_lunch_company' directly asserts the conclusion that James does not have lunch in the company.,axiom james_not_lunch_company : ¬ LunchCompany James
564,Uncertain,True,Uncertain → True,"When the Monkeypox virus occurs in a being, it may get Monkeypox. 
Monkeypox virus can occur in certain animals.
Humans are mammals.
Mammals are animals.
Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness. 
People feel tired when they get the flu.",No one gets the flu.,line 23,AXIOMATIZES_CONCLUSION,"The axiom 'no_flu' directly states that no being gets the flu, which is the conclusion being verified.","axiom no_flu : ∀ x : Being, ¬ GetsFlu x"
2,Uncertain,True,Uncertain → True,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Joey is a wild turkey.,line 25,AXIOMATIZES_CONCLUSION,"The axiom 'Joey_is_Wild' directly assumes that Joey is a wild turkey, which is the conclusion to be proven.",axiom Joey_is_Wild : WildTurkey Joey
658,Uncertain,False,Uncertain → False,"Beijing is the capital of the People's Republic of China. 
Beijing is the capital city of the world's most populous nation.
Beijing is located in Northern China.
Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing has hosted the Summer and Winter Olympics and the Summer and Winter Paralympics.
Many of Beijing's 91 universities consistently rank among the best universities in the world.",Beijing is located in southern China.,N/A,REASONING_FAILURE,"The Lean code correctly formalizes the premises and uses them to derive the negation of the conclusion, but the model prediction incorrectly states the conclusion as false.",N/A
893,Uncertain,True,Uncertain → True,"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.",Djokovic is a Grand Slam champion.,line 33,AXIOMATIZES_CONCLUSION,"The axiom 'dj_is_GrandSlamChampion' directly assumes the conclusion that Djokovic is a Grand Slam champion, which should be derived instead.",axiom dj_is_GrandSlamChampion : GrandSlamChampion Djokovic
621,True,Unknown,True → Unknown,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,lines 13-14,INCORRECT_FORMALIZATION,The formalization of the premise 'Composers write music pieces' is incorrect because it does not allow inferring that someone who wrote a music piece is a composer.,"axiom composers_write_music_pieces : ∀ x y, Composer x → MusicPiece y → Writes x y"
623,False,True,False → True,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is not a conductor.,line 33,AXIOMATIZES_CONCLUSION,The axiom 'beethoven_not_conductor' directly contradicts the derived conclusion that Beethoven is a conductor.,axiom beethoven_not_conductor : ¬ Conductor Beethoven
929,False,Unknown,False → Unknown,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.",A design by Max is either evocative or dreamy.,N/A,REASONING_FAILURE,"The Lean code fails to derive the correct conclusion due to incorrect reasoning about the premises, particularly in handling the case where a design adored by Max is both Zaha Hadid's style and interesting.",N/A
