FOLIO Testing - Started at 20251206_115637
======================================================================

Story 1/72: 380
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:39

Story 2/72: 426
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:39

Story 3/72: 198
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:39

Story 4/72: 20
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:39

Story 5/72: 282
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-06 11:56:39

Story 6/72: 471
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-06 11:56:41

Story 7/72: 184
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:41

Story 8/72: 232
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:41

Story 9/72: 452
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:41

Story 10/72: 340
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:41

Story 11/72: 96
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:42

Story 12/72: 219
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:42

Story 13/72: 350
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:42

Story 14/72: 385
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:42

Story 15/72: 256
  Accuracy: 0/1 (0.00%)
  Timestamp: 2025-12-06 11:56:42

Story 16/72: 159
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:44

Story 17/72: 343
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:44

Story 18/72: 213
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:44

Story 19/72: 79
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:44

Story 20/72: 2
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:44

Story 21/72: 192
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:45

Story 22/72: 442
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:45

Story 23/72: 234
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:45

Story 24/72: 120
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:45

Story 25/72: 322
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:45

Story 26/72: 83
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:47

Story 27/72: 368
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-06 11:56:47

Story 28/72: 319
  Accuracy: 2/5 (40.00%)
  Timestamp: 2025-12-06 11:56:47

Story 29/72: 306
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:47

Story 30/72: 245
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-06 11:56:47

Story 31/72: 58
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:48

Story 32/72: 191
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:48

Story 33/72: 166
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:48

Story 34/72: 352
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:48

Story 35/72: 472
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:48

Story 36/72: 379
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:50

Story 37/72: 197
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:50

Story 38/72: 361
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-06 11:56:50

Story 39/72: 262
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-06 11:56:50

Story 40/72: 124
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:50

Story 41/72: 183
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:51

Story 42/72: 151
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:51

Story 43/72: 295
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-06 11:56:51

Story 44/72: 315
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-06 11:56:51

Story 45/72: 467
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:51

Story 46/72: 330
  Accuracy: 1/4 (25.00%)
  Timestamp: 2025-12-06 11:56:53

Story 47/72: 26
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:53

Story 48/72: 203
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:53

Story 49/72: 131
  Accuracy: 1/2 (50.00%)
  Timestamp: 2025-12-06 11:56:53

Story 50/72: 460
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:53

Story 51/72: 46
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:54

Story 52/72: 483
  Accuracy: 3/5 (60.00%)
  Timestamp: 2025-12-06 11:56:54

Story 53/72: 80
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:54

Story 54/72: 363
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:54

Story 55/72: 258
  Accuracy: 0/1 (0.00%)
  Timestamp: 2025-12-06 11:56:54

Story 56/72: 435
  Accuracy: 3/4 (75.00%)
  Timestamp: 2025-12-06 11:56:55

Story 57/72: 217
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-06 11:56:55

Story 58/72: 292
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-06 11:56:55

Story 59/72: 318
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:55

Story 60/72: 107
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:55

Story 61/72: 386
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-06 11:56:58

Story 62/72: 355
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-06 11:56:58

Story 63/72: 51
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-06 11:56:58

Story 64/72: 259
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-06 11:56:58

Story 65/72: 152
  Accuracy: 0/2 (0.00%)
