Example_ID,Ground_Truth,Prediction,Pattern,Premises,Conclusion,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
1014,Unknown,True,Unknown → True,"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.",Bonnie performs in school talent shows often.,line 27,AXIOMATIZES_CONCLUSION,"The axiom 'bonnie_performs' directly asserts the conclusion that Bonnie performs in school talent shows often, which should be derived instead.",axiom bonnie_performs : PerformsOften Bonnie
1208,Unknown,True,Unknown → True,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James has lunch in the company.,line 28,AXIOMATIZES_CONCLUSION,"The axiom A8 directly states that James has lunch in the company, which is the conclusion being verified.",axiom A8 : LunchInCompany James
1209,Unknown,False,Unknown → False,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James does not have lunch in the company.,line 47,AXIOMATIZES_CONCLUSION,"The axiom 'James_not_lunch_in_company' directly asserts the conclusion that James does not have lunch in the company, which is the statement we are trying to prove.",axiom James_not_lunch_in_company : ¬ LunchInBuilding James
1210,True,Unknown,True → Unknown,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.","If James is either a manager or in other countries,  then James does not either has lunch at home or work remotely from home. If James either has lunch at home or works remotely from home, then he is neither a manager nor does he work in other countries. [contrapositive is more natural]",lines 64-66,AXIOMATIZES_CONCLUSION,"The model 'worldFalse' directly contradicts the conclusion by setting 'Manager' to true and 'LunchHome' to true, which makes the conclusion false.","def worldFalse : Context := { ... Manager := fun _ => True, LunchHome := fun _ => True, ... }"
2,Unknown,True,Unknown → True,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Joey is a wild turkey.,line 30,AXIOMATIZES_CONCLUSION,"The axiom W_Joey directly states that Joey is a wild turkey, which is the conclusion being verified.",axiom W_Joey : W Joey
658,Unknown,False,Unknown → False,"Beijing is the capital of the People's Republic of China. 
Beijing is the capital city of the world's most populous nation.
Beijing is located in Northern China.
Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing has hosted the Summer and Winter Olympics and the Summer and Winter Paralympics.
Many of Beijing's 91 universities consistently rank among the best universities in the world.",Beijing is located in southern China.,N/A,INCORRECT_FORMALIZATION,"The premises are formalized correctly, but the conclusion is incorrectly stated as Beijing being in southern China, which contradicts the given premises.",N/A
893,Unknown,True,Unknown → True,"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.",Djokovic is a Grand Slam champion.,line 28,AXIOMATIZES_CONCLUSION,"The axiom 'ax_dj_GS' directly assumes that Djokovic is a Grand Slam champion, which is the conclusion to be proven.",axiom ax_dj_GS : GrandSlamChampion Djokovic
290,Unknown,True,Unknown → True,"Diamond Mine is a professional wrestling stable formed in WWE.
Roderick Strong leads Diamond Mine.
Diamond Mine includes the Creed Brothers and Ivy Nile.
Imperium has a feud with Diamond Mine.",Roderick Strong leads the Creed Brothers.,line 18,INCORRECT_FORMALIZATION,"The leadership_distribution axiom incorrectly assumes that leadership over a group implies leadership over all its members, which is not necessarily true in the context of the premises.","axiom leadership_distribution : ∀ x G y, (Leads x G ∧ Member y G) → Leads x y"
621,True,Unknown,True → Unknown,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,N/A,REASONING_FAILURE,"The axioms provided are correct, but the conclusion that Beethoven is a composer is not derived due to missing reasoning steps connecting the axioms.",N/A
928,True,Unknown,True → Unknown,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.",A design by Max is evocative and dreamy.,N/A,INCORRECT_FORMALIZATION,The formalization of the premises and conclusion in Lean does not accurately capture the logical structure of the given premises and conclusion.,N/A
