Example_ID,Ground_Truth,Prediction,Pattern,Premises,Conclusion,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
1210,True,Unknown,True → Unknown,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.","If James is either a manager or in other countries,  then James does not either has lunch at home or work remotely from home. If James either has lunch at home or works remotely from home, then he is neither a manager nor does he work in other countries. [contrapositive is more natural]",N/A,REASONING_FAILURE,The Lean code has correct axioms but fails to derive the conclusion due to a reasoning error in the formal verification process.,N/A
893,Uncertain,True,Uncertain → True,"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.",Djokovic is a Grand Slam champion.,line 34,AXIOMATIZES_CONCLUSION,"The conclusion that Djokovic is a Grand Slam champion is directly axiomatized, making the theorem trivially true.",axiom h10 : GrandSlamChampion Djokovic
621,True,Unknown,True → Unknown,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,line 25,AXIOMATIZES_CONCLUSION,"The axiom 'beethoven_is_composer' directly states that Beethoven is a composer, which is the conclusion that should be derived.",axiom beethoven_is_composer : Composer Beethoven
623,False,True,False → True,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is not a conductor.,line 19,AXIOMATIZES_CONTRADICTION,"The axiom h8 directly contradicts the conclusion derived from the other axioms, as it states that Beethoven is not a conductor.",axiom h8 : ¬ Conductor Beethoven
242,Uncertain,True,Uncertain → True,"Robert Lewandowski is a striker.
Strikers are soccer players.
Robert Lewandowski left Bayern Munchen.
If a player leaves a team they no longer play for that team.",Robert Lewandowski is a star.,line 19,AXIOMATIZES_CONCLUSION,"The axiom h5 directly states the conclusion that Robert Lewandowski is a star, which makes the theorem trivial.",axiom h5 : Star RobertLewandowski
5,Uncertain,True,Uncertain → True,"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",St Pierre and Bismarck are in the same state.,7-9,AXIOMATIZES_CONCLUSION,"The conclusion that St Pierre and Bismarck are in the same state is directly axiomatized, bypassing any logical reasoning.",axiom same_state_SP_B : SameState StPierre Bismarck
981,False,True,False → True,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjoy the dining hall meals and recipes.
If people at Mary's school enjoy the dining hall meals and recipes, then they are not picky eaters.
If people at Mary's school enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
Hannah is at Mary's school.
Hannah works in student jobs on campus and if she needs to earn money to help pay for her college tuition, then she is neither picky nor needs to earn money to help pay for her college tuition.","Hannah is at Mary's school and she either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",lines 19-20,AXIOMATIZES_CONTRADICTION,"The axiom h7 introduces a contradiction by stating that if Hannah needs money, she is neither picky nor needs money, which is logically inconsistent.",h7 : Work Hannah ∧ (Needs Hannah → (¬ Picky Hannah ∧ ¬ Needs Hannah))
173,Uncertain,True,Uncertain → True,"Books contain tons of knowledge.
When a person reads a book, that person gains knowledge. 
If a person gains knowledge, they become smarter.
Harry read the book “Walden” by Henry Thoreau.",A smarter person has gained knowledge.,N/A,OTHER,"The conclusion is logically valid given the premises, but the ground truth is marked as uncertain, which is a mismatch between the logical derivation and the expected outcome.",N/A
1012,False,True,False → True,"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born together.
If people live at home, then they do not live with strangers.
If people spend a lot of time hanging out with and playing with their siblings, then they often live at home. 
Luke either is a baby born in a multiple birth and live with strangers, or is not a baby born in a multiple birth and does not live with strangers",Luke complains often about annoying siblings.,line 30,AXIOMATIZES_CONCLUSION,"The axiom directly assumes that Luke complains often about annoying siblings, which is the conclusion that needs to be proven.",axiom ax7 : ComplainsOftenAboutAnnoyingSiblings Luke
959,False,True,False → True,"If people spill a lot of food on their clothing, then they are not notably tidy.
All clumsy foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
If people are cleanly, then they are notably tidy.
If people value order and spotlessness, then they are cleanly.
All people whose families prioritize order and spotlessness themselves value order and spotlessness.
Peter is either a person who spills a lot of food on his clothing and is cleanly, or a person who does not spill a lot of food on his clothing and is not cleanly",Peter is either a  clumsy foodie who goes out frequently to find new food restaurants to try or he is someone whose family prioritizes order and spotlessness.,line 19,AXIOMATIZES_CONCLUSION,"The axiom h7 directly assumes the conclusion by stating Peter is either a clumsy foodie or his family prioritizes order and spotlessness, which aligns with the conclusion.",axiom h7 : clumsyFoodie Peter ∨ famPrior Peter
786,Uncertain,True,Uncertain → True,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Model 3 or a single-seat electric car. ",John's car is a Tesla Model 3.,line 18,AXIOMATIZES_CONCLUSION,"The axiom ax6 directly states the conclusion that John's car is a Tesla Model 3, which is the conclusion being verified.",axiom ax6 : TeslaModel3 JohnCar
788,True,Unknown,True → Unknown,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Model 3 or a single-seat electric car. ",John's car is not a Solo EV.,line 22,INCORRECT_FORMALIZATION,"The axiom ax5 is incorrectly formalized; it should directly state that if John's car is not a Tesla Model 3, then it must be a single-seat electric car.",axiom ax5 : ¬ TeslaModel3 JohnCar → SingleSeatElectricCar JohnCar
847,True,Unknown,True → Unknown,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is engaged, then John does not invite friends to their ceremony and make wedding plans.
If John has a larger family, then either John has a well-attended wedding or invites friends to their ceremony. ",John does not have a larger family.,line 22,AXIOMATIZES_CONCLUSION,"The axiom ax7 directly states the conclusion that John does not have a larger family, which is the conclusion we are trying to verify.",axiom ax7 : ¬ LargerFamily John
802,Uncertain,True,Uncertain → True,"Some show airing at 8 pm on Monday gives out roses on TV.
If a show gives out roses on TV, then the show is an episode of The Bachelor.
The Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Breaking Bad is a show.
Breaking Bad is not a reality TV show.",Breaking Bad is on Monday at 8 pm.,line 22,AXIOMATIZES_CONCLUSION,"The axiom 'breakingbad_on_mon8' directly asserts the conclusion that Breaking Bad airs on Monday at 8 pm, which should be derived rather than assumed.",axiom breakingbad_on_mon8 : AirsMon8 BreakingBad
149,True,Unknown,True → Unknown,"The summer Olympic games is a sporting event. 
The last summer Olympic games was in Tokyo.
The United States won the most medals in Tokyo. ",The United States won the most medals in the last summer Olympic games.,line 15,INCORRECT_FORMALIZATION,"The axiom 'WonMostMedalsInCity' is used instead of directly associating 'WonMostMedals' with the event 'LastSummerOlympics', leading to a mismatch in the formalization of the premises.",axiom WonMostMedalsInCity : Country → City → Prop
442,False,Unknown,False → Unknown,"Susan flies to LGA airport.
The departure and arrival can not be at the same airport.
John flies from LGA airport.",Susan flies from LGA airport.,N/A,REASONING_FAILURE,"The axioms are correctly stated, but the reasoning process fails to derive the correct conclusion that Susan's departure airport is unknown.",N/A
724,False,True,False → True,"Events are either happy or sad.
At least one event is happy. ",All events are sad.,N/A,AXIOMATIZES_CONTRADICTION,"The premises include both that all events are sad and that there exists a happy event, which is contradictory.","∀ e, Sad e"
304,False,Unknown,False → Unknown,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",No one playing for Nautico is Brazilian.,line 23,AXIOMATIZES_CONCLUSION,"The axiom directly states that no one playing for Nautico is Brazilian, which is the conclusion that should be derived, not assumed.","axiom no_one_playing_nautico_is_brazilian : ∀ p : Person, PlaysFor p Nautico → ¬ Brazilian p"
