Logic_Type,Depth,Ground_Truth,Prediction,Pattern,Context,Question,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
fol,d5_Data,Yes,No,Yes → No,"If the new phone is fast and smart, someone will enjoy using it. Also, if the apps are easy to navigate, the phone experience will be smooth. Either the phone will be fast or the apps will be intuitiv","If James did not have the smooth phone experience, then did he need to charge his phone battery freq",N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that James needs to charge his phone frequently if he did not have a smooth experience.",N/A
fol,d5_Data,Yes,No,Yes → No,"If the farmer's market has ripe, juicy peaches, someone will bake a peach pie. Also, if someone won a baking contest, they'll celebrate with friends and family. Either peaches are in season, or someon","If James did not celebrate with friends and family, then did the house feel homey and cozy?",N/A,REASONING_FAILURE,"The Lean code has correct axioms but fails to derive the conclusion that if James did not celebrate, the house felt homey and cozy.",N/A
fol,d5_Data,Yes,No,Yes → No,"If someone studies hard for an exam, they will feel confident going into the test. If there is severe weather in the forecast, schools may cancel class that day. Either Alex studied diligently for his","If there was severe weather in the forecast, did Alex feel satisfied with his performance on the his",N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the conclusion due to a lack of connection between severe weather and Alex's satisfaction with the history exam.,N/A
nm,d5_Data,Yes,No,Yes → No,"Students and Teachers are individuals in a school. Typically, individuals in a school are educated. If a Student is in class, then they study. If a Teacher is in the staff room, then they grade papers",Can we conclude if a Principal does not grade papers then a Student studies?,5-13,AXIOMATIZES_CONTRADICTION,"The axioms for Student, Principal, and Librarian are set to always return False, which contradicts the premises that involve these roles.","def Student : Person → Prop := fun _ => False
def Principal : Person → Prop := fun _ => False
def Librarian : Person → Prop := fun _ => False"
nm,d5_Data,No,Yes,No → Yes,"In a bakery, cakes and cookies are baked with care. Normally, baked goods prepared with care are delicious. If a dessert has chocolate frosting, and it is rich in flavor, customers enjoy it. If a past",Can we conclude if the chocolate cake is not enjoyed by customers then the cookie is not delicious?,N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning incorrectly concludes that the negation of the enjoyment of the chocolate cake implies the negation of the cookie's deliciousness.",N/A
nm,d5_Data,Yes,No,Yes → No,"Coffee and Tea are beverages served in a cafe. Usually, beverages served in a cafe are hot. If Coffee is brewed, then it is aromatic. If Tea is steeped, then it can be sweetened. Either Coffee is brew",Can we conclude if Hot Chocolate is not aromatic then Tea can be sweetened?,lines 24-25,INCORRECT_FORMALIZATION,The formalization of the conclusion does not correctly capture the logical relationship between the premises and the conclusion.,N/A
nm,d5_Data,No,Yes,No → Yes,"Tom and Jerry are students who are diligent. Typically, diligent students also excel academically. If a student studies computer science, and they are skilled in coding, they can develop software. If ",Can we conclude if Mary does not excel in laboratory work then Jerry does not excel academically?,line 19,AXIOMATIZES_CONTRADICTION,"The axiom 'cs_or_research' is too strong and contradicts the premises by forcing every student to either study computer science or pursue a research career, which is not supported by the premises.","axiom cs_or_research : ∀ s : Student, StudiesCS s ∨ CanResearchCareer s"
nm,d5_Data,No,Yes,No → Yes,"In a zoo, lions and tigers are carnivores. Normally, carnivores in the zoo are fed raw meat. If an animal has a mane and roars loudly, visitors find it majestic. If a big cat has stripes and hunts at ",Can we conclude if the lion is not majestic then the tiger is not fed raw meat?,line 24,INCORRECT_FORMALIZATION,"The axiom 'tigerfed_implies_lionmaj' incorrectly formalizes the premise by assuming that if the tiger is fed raw meat, then the lion is majestic, which is not supported by the given premises.",axiom tigerfed_implies_lionmaj : FedRawMeat tiger → Majestic lion
pl,d5_Data,Yes,No,Yes → No,"The basketball team wanted to start winning more games. The players realized that if they practiced team plays regularly, their execution would improve. And if their play execution improved, they coul","If the team does not win more games, then does their performance improve?",N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that ¬W implies I.",N/A
pl,d5_Data,Yes,No,Yes → No,"The chef at a popular restaurant decided that if he added more salt to the soup, it would enhance the flavor. However, he soon realized that if the soup tasted too salty, customers would send it back ","If customers do not send the soup back to the kitchen, then does the restaurant menu have eclectic o",N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the correct conclusion that ¬SendBack implies EclecticMenu.",N/A
pl,d5_Data,Yes,No,Yes → No,Dan wanted to get in better shape. He decided to start a new workout routine to become more active. Dan knew being active regularly would help him gain strength and energy. Whether Dan started a worko,"If Dan does not gain strength and energy, then does he achieve his fitness goals?",N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the correct conclusion that if Dan does not gain strength and energy, he still achieves his fitness goals.",N/A
