Example_ID,Ground_Truth,Prediction,Pattern,Premises,Conclusion,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
1209,Unknown,False,Unknown → False,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James does not have lunch in the company.,line 33,AXIOMATIZES_CONCLUSION,"The axiom A8 directly states the conclusion that James does not have lunch in the company, which is what the theorem is trying to prove.",axiom A8 : Not (HasLunchInBuilding James)
1210,True,Unknown,True → Unknown,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.","If James is either a manager or in other countries,  then James does not either has lunch at home or work remotely from home. If James either has lunch at home or works remotely from home, then he is neither a manager nor does he work in other countries. [contrapositive is more natural]",lines 66-68,AXIOMATIZES_CONCLUSION,"The model directly constructs a counterexample that satisfies the premises but contradicts the conclusion, effectively axiomatizing the negation of the conclusion.",def ctxCounter : Ctx := { ... }
621,True,Unknown,True → Unknown,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,N/A,REASONING_FAILURE,"The axioms provided are correct, but the reasoning process fails to derive that Beethoven is a composer from the given premises.",N/A
1029,True,Unknown,True → Unknown,"If someone is ranked highly by the Women's Tennis Association, then they are one of the most active players in major tennis. 
Everyone who lost to Iga Świątek at Roland Garros 2022 is ranked highly by the Women's Tennis Association.
All female tennis players at Roland Garros 2022 lost to Iga Świątek.
All tennis players at Roland Garros 2022 are either female or male.
All male tennis players at Roland Garros in 2022 lost to Rafael Nadal.
If Coco Gauff is ranked highly by the Women's Tennis Association or lost to Rafael Nadal, then Coco Gauff is not a male tennis player at Roland Garros 2022.
Coco Gauff is at Roland Garros 2022.",Coco Gauff is among the most active Grand-Slam players.,N/A,INCORRECT_FORMALIZATION,The formalization does not correctly capture the link between being one of the most active players in major tennis and being among the most active Grand-Slam players.,N/A
906,True,Unknown,True → Unknown,"No digital media are analog.
Every printed text is analog media.
All streaming services are digital media.
If an object is a hardcover book, then it is printed text.
If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is not a streaming service.,lines 36-37,INCORRECT_FORMALIZATION,"The formalization incorrectly allows for both Hardcover(1984) and ¬Hardcover(1984) to be true, which contradicts the premises that should lead to a single conclusion.",N/A
1247,Unknown,True,Unknown → True,"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James takes the database course.,N/A,AXIOMATIZES_CONTRADICTION,"The premises include a contradiction: James is both working in the lab and not working in the lab, leading to an incorrect conclusion.",h6 : Lab j and h7 : ¬Lab j
942,False,Unknown,False → Unknown,"All people who eat salads regularly are very conscious about their health and eating habits.
All people who grew up in health-conscious childhood homes eat salads regularly.
All people who fulfill their daily nutritional intakes grew up in health-conscious childhood homes.
All people who disregard their physical well-being are not very conscious about their health and eating habits.
If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes.
Taylor either grew up in a health-conscious childhood home and disregard her physical well-being, or she did neither.",Taylor visits the gym at least once a day.,lines 22-23,AXIOMATIZES_CONTRADICTION,"The proof derives both C t and ¬ C t, which is a contradiction, indicating that the premises lead to an inconsistency.",h6 : (H t ∧ D t) ∨ (¬ H t ∧ ¬ D t)
149,True,Unknown,True → Unknown,"The summer Olympic games is a sporting event. 
The last summer Olympic games was in Tokyo.
The United States won the most medals in Tokyo. ",The United States won the most medals in the last summer Olympic games.,lines 10-11,INCORRECT_FORMALIZATION,"The formalization uses 'WonMostMedalsInCity' instead of 'WonMostMedalsAtEvent', which does not directly connect the premises to the conclusion.",axiom usaWonMostInTokyo : WonMostMedalsInCity USA Tokyo
189,True,Unknown,True → Unknown,"A podcast is not a novel.
If a person is born in American City, the person is American.
If a book is a novel and it is written by a person, then the person is a novel writer.
Dani Shapiro is an American writer.
Family History is written by Dani Shapiro.
Family History is a novel written in 2003.
Dani Shapiro created a podcast called Family Secrets.
Boston is an American city.",Dani Shapiro is a novel writer.,N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive that Family History is a Book, which is necessary to apply P3 and conclude that Dani Shapiro is a novel writer.",N/A
308,Unknown,True,Unknown → True,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,N/A,REASONING_FAILURE,"The Lean code correctly formalizes the premises and derives the conclusion, but the model prediction is marked as wrong due to an external verification error, not an issue with the Lean code itself.",N/A
