case_idx,example_id,story_id,ground_truth,prediction,pattern,num_iterations,premises,conclusion,root_cause_category,error_description,problematic_axiom
100,1368,472,False,Uncertain,Uncertain → False,1,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",AXIOMATIZE_CONTRADICTION,"The axioms A2 and A4 create a logical contradiction because A2 implies Harry reproduces by male-and-female mating if he has a backbone, while A4 states that as a bee, Harry does not reproduce this way.",N/A
102,1012,379,False,Uncertain,Uncertain → False,1,"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born",Luke complains often about annoying siblings.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because T1 implies both living with and not living with strangers, which is inconsistent with other axioms.",N/A
36,621,219,True,Uncertain,Uncertain → True,1,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because R1 implies that if Beethoven wrote Symphony No. 9, he must be a composer, but the proof does not establish this.",N/A
29,1303,452,False,Uncertain,Uncertain → False,3,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth,","If Marvin is not from Mars, then Marvin is a human.",AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because A6 implies Marvin is both from Earth and Mars or from neither, conflicting with other axioms.",N/A
40,928,350,True,Uncertain,Uncertain → True,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is evocative and dreamy.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction. Axiom A6 implies that if a design by Max that he adores has interesting geometries, it must be brutalist, but A2 states that no brutalist buildings Max adores can have interesting geometries.",N/A
41,929,350,False,Uncertain,Uncertain → False,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is either evocative or dreamy.,AXIOMATIZE_CONTRADICTION,The axioms H1 and H2 create a logical contradiction because they imply that a design adored by Max can both have and not have interesting geometries.,N/A
114,527,183,False,Uncertain,Uncertain → False,1,"If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, then x is taller than z
Peter is a man who is taller than Michael.
Michael ca",Peter is shorter than a man in Michael's class.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because Michael_blocks_if_no_jump implies Michael can block Windy if Windy does not jump, but not_block_Windy states Michael cannot block Windy.",N/A
46,456,159,True,Uncertain,Uncertain → True,1,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because the rule requires James to be a student to conclude his favorite season is summer, but this information is missing.",N/A
118,440,151,True,Uncertain,Uncertain → True,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",There is at least one cove in Antarctica named after a place in Bulgaria.,PROOF_INCOMPLETE,"The axioms correctly represent the premises, but the proof does not fully utilize the transitivity of location to conclude that Barutin Cove is located in Antarctica.",N/A
119,441,151,False,Uncertain,Uncertain → False,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",Barutin Cove is not located in Antarctica.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because Antarctica is stated to be located in the South Shetland Islands, which is incorrect.",N/A
122,787,315,False,Uncertain,Uncertain → False,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is a Solo EV.,AXIOMATIZE_CONTRADICTION,"Axiom A5 creates a logical contradiction by implying that if John's car is not a Tesla Model 3, it is either not a Tesla Model 3 or a single-seat electric car, which is tautological and does not help in deriving the conclusion.",N/A
123,788,315,True,Uncertain,Uncertain → True,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is not a Solo EV.,AXIOMATIZE_CONTRADICTION,"Axiom A5 creates a logical contradiction by implying that if John's car is not a Tesla Model 3, it must either not be a Tesla Model 3 or be a single-seat electric car, which conflicts with the premises.",N/A
127,846,330,False,Uncertain,Uncertain → False,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John has a larger family.,AXIOMATIZE_CONTRADICTION,"Axiom A5 creates a logical contradiction by stating that if John is engaged, he both makes plans and does not invite friends, which conflicts with the premises.",N/A
128,847,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John does not have a larger family.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because A5 implies John both makes plans and does not invite friends, which conflicts with the premises that making plans implies inviting others.",N/A
202,308,101,Uncertain,True,True → Uncertain,1,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,AXIOMATIZE_CONTRADICTION,The axioms are logically inconsistent because they imply both that Ailton Silva was loaned out to a football club and that this cannot be definitively concluded.,N/A
130,849,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John neither has a larger family nor does he invite others to his wedding.,AXIOMATIZE_CONTRADICTION,"Axiom A5 creates a logical contradiction by implying that if John is engaged, he cannot both invite friends and make plans, which conflicts with the premises that link making plans to being engaged.",N/A
196,1325,459,False,Uncertain,Uncertain → False,2,"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi is a barking dog.,AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction, particularly with axiom A7, which implies a self-negating condition for KiKi.",N/A
70,819,322,Uncertain,True,True → Uncertain,1,"All growth stocks are bought to earn profits from rapid price appreciation.
If the stock price is bought to earn profits from rapid price appreciation, then it is not suitable for a retirement fund.
Some stocks are growth stocks.
All mature stocks are suitable for a retirement fund.
KO is a mature s",KO is a stock.,AXIOMATIZE_CONTRADICTION,"The axioms A2 and A4 create a logical contradiction because A2 implies that a stock bought for rapid appreciation is not suitable for retirement, while A4 states that all mature stocks, including KO, are suitable for retirement.",N/A
141,1329,460,True,Uncertain,Uncertain → True,1,"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of ","""Hachi: A dog's Tale"" either contains excessive erotic and violent content and is a film in the ""Frozen"" series, or it neither contains excessive erotic and violent content nor is a film in the ""Frozen"" series.",AXIOMATIZE_CONTRADICTION,"The axioms create a logical contradiction because R2 implies that if a film contains excessive erotic and violent content, children cannot watch it, which conflicts with the derived fact that 'Hachi: A dog's Tale' can be watched by children.",N/A
75,979,368,Uncertain,True,True → Uncertain,1,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjo",Hannah needs to earn money to help pay for her college tuition.,AXIOMATIZE_CONTRADICTION,The axioms are logically inconsistent because H_fact contains a self-negating implication: Needs Hannah implies ¬Needs Hannah.,N/A
77,981,368,False,True,True → False,1,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjo","Hannah is at Mary's school and she either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",AXIOMATIZE_CONTRADICTION,"The axiom H_need_imp contains a self-negating implication where Need Hannah implies ¬Need Hannah, creating a logical contradiction.",N/A
5,1210,426,True,Uncertain,Uncertain → True,1,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are workin","If James is either a manager or in other countries,  then James does not either has lunch at home or work remotely from home. If James either has lunch at home or works remotely from home, then he is neither a manager nor does he work in other countries. [contrapositive is more natural]",AXIOMATIZE_CONTRADICTION,"Axiom A7 creates a logical contradiction by stating that James will appear in the company today if and only if he is a manager, which conflicts with the premise that no managers work remotely from home.",N/A
83,754,306,False,True,True → False,1,"If a restaurant is listed in Yelp’s recommendations, then the restaurant has not received many negative reviews.
All restaurants with a rating greater than four are listed in Yelp’s recommendations.
Some restaurants that do not provide take-out service receive many negative reviews.
All restaurants ","If the Hamden Plaza Subway store provides take-out service and receives many negative reviews, then its rating is greater than 4 and it does not provide take-out service.",AXIOMATIZE_CONTRADICTION,"The axioms lead to a logical contradiction because A5 implies either a high rating or popularity, which conflicts with the assumption of many negative reviews.",N/A
