Logic_Type,Depth,Ground_Truth,Prediction,Pattern,Context,Question,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
fol,d1_Data,No,Yes,No → Yes,"If someone has good time management skills, they can often accomplish more in less time. Amy does not accomplish more in less time.",Does Amy have good time management skills?,N/A,REASONING_FAILURE,"The axioms and reasoning are correct, but the model prediction incorrectly interprets the conclusion derived by Lean.",N/A
fol,d1_Data,Yes,No,Yes → No,"When attending a formal event, some dress in formal attire while others opt for casual wear. However, one person finds that their formal wear is not ready in time.","Does it entail that for Mary, who had the option to dress formally or casually, she wears casual att",11-12,AXIOMATIZES_CONCLUSION,"The code directly axiomatizes that Mary does not wear casual attire, which contradicts the ground truth conclusion.",def WearsCasual : Person → Prop | Mary => False
fol,d2_Data,No,Yes,No → Yes,"A band wanted to gain a larger fanbase. They knew that if they toured extensively, more people would be exposed to their music. Also, if more people heard their songs, ticket sales for their shows wou","If the band does not see an increase in ticket sales, do they tour extensively?",N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning incorrectly assumes that the contrapositive of the implications can be directly applied to conclude ¬ TourExtensively from ¬ TicketSalesIncrease.",N/A
fol,d3_Data,Yes,No,Yes → No,"A young man was looking to adopt a pet. He learned that if you adopt an animal, you have to commit to taking care of it. He knew that if you properly care for a pet, it will be happy and healthy.",Kevin adopts a pet. Will it be happy and healthy?,N/A,REASONING_FAILURE,"The axioms and theorems are correctly formalized, but the reasoning does not connect Kevin's commitment to care with proper care, which is necessary to conclude the pet's happiness and health.",N/A
fol,d4_Data,No,Yes,No → Yes,"For students, teachers often say that if someone studies consistently throughout the semester, then if they are well-prepared before the exam, they will get good grades.",Emma was well-prepared before the exam. Emma did not get good grades. Did Emma study consistently th,9-10,INCORRECT_FORMALIZATION,The formalization of the premises does not account for the possibility that someone can be well-prepared and still not get good grades if they did not study consistently.,"axiom study_rule : ∀ x : Person, StudiesConsistently x → (WellPrepared x → GoodGrades x)"
fol,d4_Data,No,Yes,No → Yes,"For athletes, coaches often say that if someone trains with dedication, then if they get adequate rest, they will perform at their peak on game day.",Simone got plenty of rest before the big match. She did not play her best during the game. Did Simon,line 14,INCORRECT_FORMALIZATION,"The formalization of the coaches' rule does not account for the possibility that Simone did not train with dedication, leading to an incorrect conclusion.","axiom coaches_rule : ∀ a : Athlete, TrainsWithDedication a → (AdequateRest a → PeakPerformance a)"
fol,d5_Data,Yes,No,Yes → No,"A musician wanted to compose an album. They realized that if they practiced new melodies daily, they would expand their repertoire. If they had more material, they could produce enough songs for an al","If Sarah did not release an album this year, did her creativity flourish?",N/A,REASONING_FAILURE,"The axioms and theorems are correctly formalized, but the reasoning fails to connect the lack of album release to the flourishing of creativity.",N/A
fol,d5_Data,Yes,No,Yes → No,"If someone studies hard for an exam, they will feel confident going into the test. If there is severe weather in the forecast, schools may cancel class that day. Either Alex studied diligently for his","If there was severe weather in the forecast, did Alex feel satisfied with his performance on the his",N/A,INCORRECT_FORMALIZATION,"The premises do not provide any information linking severe weather to Alex's satisfaction with his history exam, leading to an inability to derive the conclusion.",N/A
nm,d1_Data,Yes,No,Yes → No,"Mary was out shopping for fruit at the local market. She wanted to buy some apples, oranges and bananas since she knew those were all tasty fruits. As she was picking out some fresh apples and oranges",does this mean that bananas are growing on a tree and exactly one of the apples or oranges is not gr,line 47,INCORRECT_FORMALIZATION,"The axiom hOD_not_tree incorrectly assumes that all items on display are not growing on a tree, which is not explicitly stated in the premises.","axiom hOD_not_tree : ∀ x, OnDisplay x → ¬OnTree x"
nm,d1_Data,Yes,No,Yes → No,"Julia, Emma, and Lucas are graduate students in the biology department and have published research papers. Generally, students who have published are considered for scholarships. At least one of Julia",Can we conclude Lucas has been considered for a scholarship and exactly one of Julia or Emma has not,N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the conclusion that Lucas is considered and exactly one of Julia or Emma is not considered.,N/A
