case_idx,example_id,story_id,ground_truth,prediction,pattern,num_iterations,premises,conclusion,root_cause_category,error_description,problematic_axiom
100,1368,472,False,Uncertain,Uncertain → False,1,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",FORMALIZE_INCORRECTLY,"The axiom A1 incorrectly formalizes the premise about animals being either invertebrates or vertebrates. It should be a biconditional, not an implication.",N/A
102,1012,379,False,Uncertain,Uncertain → False,1,"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born",Luke complains often about annoying siblings.,FORMALIZE_INCORRECTLY,"The axiom T1 incorrectly formalizes the premise about Luke's living situation, leading to a contradiction when combined with other axioms.",N/A
36,621,219,True,Uncertain,Uncertain → True,1,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,FORMALIZE_INCORRECTLY,"The axiom for 'Composers write music pieces' is incorrectly formalized. It should imply that if someone wrote a music piece, they are a composer, not the other way around.",N/A
29,1303,452,False,Uncertain,Uncertain → False,3,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth,","If Marvin is not from Mars, then Marvin is a human.",FORMALIZE_INCORRECTLY,"The axiom A6 misrepresents the premise about Marvin's origin. It should reflect that Marvin is either from both Earth and Mars or from neither, but the axiom does not correctly capture this logical structure.",N/A
40,928,350,True,Uncertain,Uncertain → True,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is evocative and dreamy.,FORMALIZE_INCORRECTLY,"The axiom A6 is incorrectly formalized. It should state that if a design by Max that he adores is interesting, then it cannot be brutalist, contradicting the premises.",N/A
41,929,350,False,Uncertain,Uncertain → False,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is either evocative or dreamy.,FORMALIZE_INCORRECTLY,"The axiom H6 is incorrectly formalized. It states that if a design by Max that he adores has interesting geometries, then it is a brutalist building and evocative, which contradicts the premise that no brutalist buildings Max adores have interesting geometries.",N/A
114,527,183,False,Uncertain,Uncertain → False,1,"If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, then x is taller than z
Peter is a man who is taller than Michael.
Michael ca",Peter is shorter than a man in Michael's class.,AXIOMATIZE_CONTRADICTION,"The axioms create a contradiction: Michael is taller than everyone in his class, but Peter is taller than Michael, leading to a logical inconsistency.",N/A
46,456,159,True,Uncertain,Uncertain → True,1,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,MISSING_PREMISES,"The premise that James is a student is missing, which is necessary to apply the rule that students who want a long vacation have summer as their favorite season.",N/A
118,440,151,True,Uncertain,Uncertain → True,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",There is at least one cove in Antarctica named after a place in Bulgaria.,FORMALIZE_INCORRECTLY,"The axiom T7 is incorrectly formalized. It states 'LocatedIn Antarctica SouthShetlandIslands', which reverses the intended relationship that Antarctica contains the South Shetland Islands.",N/A
119,441,151,False,Uncertain,Uncertain → False,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",Barutin Cove is not located in Antarctica.,MISSING_PREMISES,"The premise 'Antarctica is located on the South Shetland Islands' is not correctly formalized. The axiom A5 states 'LocatedIn Antarctica SouthShetlandIslands', which does not imply that Barutin Cove is located in Antarctica.",N/A
