Example_ID,Ground_Truth,Prediction,Pattern,Premises,Conclusion,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
1210,True,Unknown,True → Unknown,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.","If James is either a manager or in other countries,  then James does not either has lunch at home or work remotely from home. If James either has lunch at home or works remotely from home, then he is neither a manager nor does he work in other countries. [contrapositive is more natural]",N/A,AXIOMATIZES_UNMENTIONED,"The model wNo introduces facts about James being in other countries and having lunch at home, which are not directly supported by the premises.",N/A
1303,False,Unknown,False → Unknown,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","If Marvin is not from Mars, then Marvin is a human.",N/A,REASONING_FAILURE,"The Lean code correctly formalizes the premises but incorrectly concludes that the statement is true, failing to recognize the logical inconsistency in the premises.",N/A
621,True,Unknown,True → Unknown,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,line 15,INCORRECT_FORMALIZATION,"The axiom 'composers_write' does not correctly capture the premise that composers write music pieces, as it does not establish a direct link between Beethoven being a composer and writing Symphony No. 9.","axiom composers_write : ∀ c : Entity, Composer c → ∃ m : Entity, MusicPiece m ∧ Writes c m"
928,True,Unknown,True → Unknown,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.",A design by Max is evocative and dreamy.,N/A,AXIOMATIZES_CONCLUSION,The axioms directly or indirectly lead to the conclusion that a design by Max is evocative and dreamy without proper derivation from the premises.,axiom hdE : E d; axiom hdD : Dr d
1029,True,Unknown,True → Unknown,"If someone is ranked highly by the Women's Tennis Association, then they are one of the most active players in major tennis. 
Everyone who lost to Iga Świątek at Roland Garros 2022 is ranked highly by the Women's Tennis Association.
All female tennis players at Roland Garros 2022 lost to Iga Świątek.
All tennis players at Roland Garros 2022 are either female or male.
All male tennis players at Roland Garros in 2022 lost to Rafael Nadal.
If Coco Gauff is ranked highly by the Women's Tennis Association or lost to Rafael Nadal, then Coco Gauff is not a male tennis player at Roland Garros 2022.
Coco Gauff is at Roland Garros 2022.",Coco Gauff is among the most active Grand-Slam players.,lines 64-66,AXIOMATIZES_CONCLUSION,"The model directly axiomatizes the conclusion by setting GS to always be true, which does not reflect the logical derivation from the premises.",GS := fun _ => True
456,True,Unknown,True → Unknown,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,line 56,AXIOMATIZES_CONTRADICTION,"The modelFalse defines James's favorite season as Winter, which contradicts the premise that all students who want a long vacation have Summer as their favorite season.",Favorite := fun x => match x with | P.james => Season.Winter
906,True,Unknown,True → Unknown,"No digital media are analog.
Every printed text is analog media.
All streaming services are digital media.
If an object is a hardcover book, then it is printed text.
If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is not a streaming service.,N/A,AXIOMATIZES_CONCLUSION,"The models directly axiomatize the truth or falsity of H(1984), which is the conclusion being tested.",def H : U → Prop := fun _ => True (Model1) and def H : U → Prop := fun _ => False (Model2)
608,False,Unknown,False → Unknown,"All Romance languages are Indo-European languages.
Romance languages are a language family.
All languages within a language family are related to each other.
French and Spanish are both Romance languages.
German is related to Spanish.
Basque is not related to any other language.",Basque is a Romance language.,N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the correct conclusion due to a reasoning error in the theorem proof.,N/A
4,False,Unknown,False → Unknown,"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",Butte and St Pierre are in the same state.,N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the correct conclusion that Butte and St Pierre cannot be in the same state.",N/A
979,Unknown,True,Unknown → True,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjoy the dining hall meals and recipes.
If people at Mary's school enjoy the dining hall meals and recipes, then they are not picky eaters.
If people at Mary's school enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
Hannah is at Mary's school.
Hannah works in student jobs on campus and if she needs to earn money to help pay for her college tuition, then she is neither picky nor needs to earn money to help pay for her college tuition.",Hannah needs to earn money to help pay for her college tuition.,line 19,AXIOMATIZES_CONTRADICTION,"The axiom prem7b introduces a contradiction by stating that if Hannah needs money, then she both does not need money and is not picky, which is logically inconsistent.",(prem7b : N Hannah → (¬ P Hannah ∧ ¬ N Hannah))
980,True,Unknown,True → Unknown,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjoy the dining hall meals and recipes.
If people at Mary's school enjoy the dining hall meals and recipes, then they are not picky eaters.
If people at Mary's school enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
Hannah is at Mary's school.
Hannah works in student jobs on campus and if she needs to earn money to help pay for her college tuition, then she is neither picky nor needs to earn money to help pay for her college tuition.",Hannah is at Mary's school and she is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,line 25,AXIOMATIZES_CONTRADICTION,"The axiom h7 introduces a contradiction by stating that if Hannah needs to earn money, then she does not need to earn money, which is logically inconsistent.",axiom h7 : W Hannah ∧ (N Hannah → (¬ P Hannah ∧ ¬ N Hannah))
981,False,True,False → True,"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjoy the dining hall meals and recipes.
If people at Mary's school enjoy the dining hall meals and recipes, then they are not picky eaters.
If people at Mary's school enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
Hannah is at Mary's school.
Hannah works in student jobs on campus and if she needs to earn money to help pay for her college tuition, then she is neither picky nor needs to earn money to help pay for her college tuition.","Hannah is at Mary's school and she either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",lines 9-10,AXIOMATIZES_CONTRADICTION,"The axiom h7 introduces a contradiction by stating that if Hannah needs to earn money, she is neither picky nor needs to earn money, which is logically inconsistent.",h7 : W h ∧ (N h → (¬ P h ∧ ¬ N h))
756,Unknown,True,Unknown → True,"If a restaurant is listed in Yelp’s recommendations, then the restaurant has not received many negative reviews.
All restaurants with a rating greater than four are listed in Yelp’s recommendations.
Some restaurants that do not provide take-out service receive many negative reviews.
All restaurants that are popular among local residents have ratings greater than four.
The Hamden Plaza Subway store has a rating greater than four, or it is popular among local residents.",The Hamden Plaza store does not provide take-out service.,N/A,INCORRECT_FORMALIZATION,"The formalization does not correctly capture the logical structure of the premises, particularly the relationship between take-out service and negative reviews.",N/A
476,False,Unknown,False → Unknown,"Pets are allowed in some managed buildings.
A deposit is required to rent an apartment in a managed building.
The security deposit can be either equal to the monthly rent at a managed building or more.
Fluffy is Tom's cat.
Cats are pets.
The Olive Garden is a managed building.
The monthly rent at the Olive Garden is $2000.
$2000 is more than $1500.
Tom will rent an apartment in a managed building if he is allowed to move in with Fluffy, and the security deposit is no more than $1500.
If a managed building allows pets, then people are allowed to move in with a pet. ",Tom will rent an apartment in The Olive Garden.,lines 24-26,INCORRECT_FORMALIZATION,"The decision_rule axiom incorrectly allows Tom to rent any managed building if he can move in with Fluffy and the deposit is at most $1500, without considering the specific deposit requirement of The Olive Garden.","axiom decision_rule : ∀ b : Building, (AllowedToMoveInWith Tom Fluffy b ∧ DepositAtMost1500 b) → ∃ b2 : Building, Managed b2 ∧ WillRent Tom b2"
1367,True,Unknown,True → Unknown,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.",Harry is an invertebrate or a queen bee.,lines 23-32,AXIOMATIZES_CONTRADICTION,"The countermodel axiomatizes that all predicates are false except for Bee, which contradicts the premises that require some predicates to be true.",let A0 : U0 → Prop := fun _ => False; let Inv0 : U0 → Prop := fun _ => False; let Ver0 : U0 → Prop := fun _ => False; let BB0 : U0 → Prop := fun _ => False; let RMF0 : U0 → Prop := fun _ => False; let Bee0 : U0 → Prop := fun _ => True; let QB0 : U0 → Prop := fun _ => False;
1368,False,Unknown,False → Unknown,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",N/A,AXIOMATIZES_CONCLUSION,"The Lean code directly constructs a model where the conclusion is false, which is not allowed if the premises are correctly formalized and the conclusion is valid.",The construction of the model in the 'not_entails_target' theorem directly contradicts the conclusion by setting QueenBee to True.
959,False,Unknown,False → Unknown,"If people spill a lot of food on their clothing, then they are not notably tidy.
All clumsy foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
If people are cleanly, then they are notably tidy.
If people value order and spotlessness, then they are cleanly.
All people whose families prioritize order and spotlessness themselves value order and spotlessness.
Peter is either a person who spills a lot of food on his clothing and is cleanly, or a person who does not spill a lot of food on his clothing and is not cleanly",Peter is either a  clumsy foodie who goes out frequently to find new food restaurants to try or he is someone whose family prioritizes order and spotlessness.,N/A,AXIOMATIZES_CONTRADICTION,"The Lean code derives a contradiction (T P ∧ ¬ T P) from the premises, which indicates that the premises themselves are inconsistent.",N/A
706,Unknown,True,Unknown → True,"All fir trees are evergreens.
Some objects of worship are fir trees.",Some evergreens are not objects of worship.,N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the correct conclusion due to a logical reasoning error.,N/A
528,True,Unknown,True → Unknown,"If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, then x is taller than z
Peter is a man who is taller than Michael.
Michael can block any shooting from a person as long as the person does not jump when shooting.
Michael cannot block Windy's shooting.
Every shooter who can jump when shooting is a great shooter.",Windy is a great shooter.,lines 19-20,INCORRECT_FORMALIZATION,"The formalization incorrectly uses 'CanJumpWhenShooting' instead of 'JumpsWhenShooting' in the axiom A7, which leads to a failure in deriving the conclusion.","axiom A7 : ∀ s : Person, (Shooter s ∧ CanJumpWhenShooting s) → GreatShooter s"
441,False,Unknown,False → Unknown,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in place B and place B is located in place C, then place A is located in place C.",Barutin Cove is not located in Antarctica.,line numbers or N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises and transitivity but fails to derive the conclusion that Barutin Cove is not located in Antarctica due to a lack of premises explicitly connecting Antarctica to Barutin Cove.,N/A
786,Unknown,False,Unknown → False,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Model 3 or a single-seat electric car. ",John's car is a Tesla Model 3.,N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the conclusion due to incorrect reasoning about the implications of the premises.,N/A
848,Unknown,True,Unknown → True,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is engaged, then John does not invite friends to their ceremony and make wedding plans.
If John has a larger family, then either John has a well-attended wedding or invites friends to their ceremony. ",John is engaged.,line 25,AXIOMATIZES_CONCLUSION,"The conclusion that John is engaged is directly axiomatized as p7, which makes the theorem trivial.",axiom p7 : E j
1328,False,True,False → True,"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of all ages.
All family-friendly animated films are rated General Audience.
All movies in the Frozen series are family-friendly animated films.
“Hachi: A dog’s Tale” is a film.
“Hachi: A dog’s Tale”  is either a family-friendly animated film or is appropriate for people of all ages. ","""Hachi: A dog's Tale"" contains excessive erotic and violent content or is in the ""Frozen"" series or both.",N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that 'Hachi: A dog's Tale' being appropriate for all ages implies it contains excessive erotic and violent content, which contradicts the premises.",N/A
1247,Unknown,True,Unknown → True,"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James takes the database course.,line 24,AXIOMATIZES_CONTRADICTION,"The axioms include a contradiction: James is both working in the lab and not working in the lab, which leads to an incorrect conclusion.",axiom h6 : Lab J
803,False,Unknown,False → Unknown,"Some show airing at 8 pm on Monday gives out roses on TV.
If a show gives out roses on TV, then the show is an episode of The Bachelor.
The Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Breaking Bad is a show.
Breaking Bad is not a reality TV show.",Breaking Bad is a TV show in which roses are given out on Monday at 8 pm.,"line 25, line 75",AXIOMATIZES_CONCLUSION,"The ModelYes namespace directly axiomatizes the conclusion by setting AirsMon8pm and Roses to True for Thing.B, which contradicts the premises.",def AirsMon8pm (x : Thing) : Prop := match x with | Thing.B => True | Thing.T => False | Thing.S => True
