FOLIO Testing - Started at 20251208_232355
======================================================================

Story 1/72: 380
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:24:31

Story 2/72: 426
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:24:31

Story 3/72: 198
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-08 23:24:31

Story 4/72: 20
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:24:31

Story 5/72: 282
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-08 23:24:31

Story 6/72: 471
  Accuracy: 3/5 (60.00%)
  Timestamp: 2025-12-08 23:24:57

Story 7/72: 184
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:24:57

Story 8/72: 232
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:24:57

Story 9/72: 452
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:24:57

Story 10/72: 340
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:24:57

Story 11/72: 96
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:25:10

Story 12/72: 219
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:25:10

Story 13/72: 350
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-08 23:25:10

Story 14/72: 385
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-08 23:25:10

Story 15/72: 256
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-08 23:25:10

Story 16/72: 159
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-08 23:25:22

Story 17/72: 343
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-08 23:25:22

Story 18/72: 213
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:25:22

Story 19/72: 79
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:25:22

Story 20/72: 2
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:25:22

Story 21/72: 192
  Accuracy: 0/2 (0.00%)
  Timestamp: 2025-12-08 23:25:34

Story 22/72: 442
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:25:34

Story 23/72: 234
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:25:34

Story 24/72: 120
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-08 23:25:34

Story 25/72: 322
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:25:34

Story 26/72: 83
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-08 23:25:48

Story 27/72: 368
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-08 23:25:48

Story 28/72: 319
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-08 23:25:48

Story 29/72: 306
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:25:48

Story 30/72: 245
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-08 23:25:48

Story 31/72: 58
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:05

Story 32/72: 191
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-08 23:26:05

Story 33/72: 166
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:05

Story 34/72: 352
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:26:05

Story 35/72: 472
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:05

Story 36/72: 379
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:21

Story 37/72: 197
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:21

Story 38/72: 361
  ERROR: API error 503: {"error":{"message":"Provider returned error","code":503,"metadata":{"raw":"{\"object\":\"error\",\"message\":\"Internal server error\",\"type\":\"unreachable_backend\",\"param\":null,\"code\":\"1100\"}","provider_name":"Mistral"}},"user_id":"user_36TIVOgKUvPSuQ2XMNcDMd1VGBs"}
  Timestamp: 2025-12-08 23:26:21

Story 39/72: 262
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-08 23:26:21

Story 40/72: 124
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:26:21

Story 41/72: 183
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:32

Story 42/72: 151
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:26:32

Story 43/72: 295
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-08 23:26:32

Story 44/72: 315
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:32

Story 45/72: 467
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:32

Story 46/72: 330
  Accuracy: 1/4 (25.00%)
  Timestamp: 2025-12-08 23:26:53

Story 47/72: 26
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-08 23:26:53

Story 48/72: 203
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:53

Story 49/72: 131
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-08 23:26:53

Story 50/72: 460
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:26:53

Story 51/72: 46
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-08 23:27:22

Story 52/72: 483
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-08 23:27:22

Story 53/72: 80
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-08 23:27:22

Story 54/72: 363
