case_idx,example_id,story_id,ground_truth,prediction,pattern,num_iterations,premises,conclusion,root_cause_category,error_description,problematic_axiom
100,1368,472,False,Uncertain,Uncertain → False,1,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",FORMALIZE_INCORRECTLY,"The premise 'If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee' is incorrectly formalized. The formalization does not capture the logical structure of the premise correctly.",N/A
102,1012,379,False,Uncertain,Uncertain → False,1,"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born",Luke complains often about annoying siblings.,FORMALIZE_INCORRECTLY,"The premise 'Luke either is a baby born in a multiple birth and live with strangers, or is not a baby born in a multiple birth and does not live with strangers' is incorrectly formalized. The axiom T1 does not correctly capture the logical structure of the premise.",N/A
36,621,219,True,Uncertain,Uncertain → True,1,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,FORMALIZE_INCORRECTLY,"The premise 'Composers write music pieces' is incorrectly formalized. It should imply that if someone wrote a music piece, they are a composer, but the axiom R1 does not capture this implication correctly.",N/A
29,1303,452,False,Uncertain,Uncertain → False,3,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth,","If Marvin is not from Mars, then Marvin is a human.",FORMALIZE_INCORRECTLY,"The premise 'Marvin is either from Earth and from Mars, or he is from neither' is incorrectly formalized. It should be 'Marvin is either from Earth or from Mars, or he is from neither.'",N/A
40,928,350,True,Uncertain,Uncertain → True,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is evocative and dreamy.,FORMALIZE_INCORRECTLY,"The premise 'If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative' is incorrectly formalized. It should not imply that the design is brutalist, as this contradicts the premise that no brutalist buildings Max adores have interesting geometries.",N/A
41,929,350,False,Uncertain,Uncertain → False,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is either evocative or dreamy.,FORMALIZE_INCORRECTLY,"The premise 'If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative' is incorrectly formalized. It should not imply that the design is a brutalist building, as this contradicts the premise that no brutalist buildings Max adores have interesting geometries.",N/A
114,527,183,False,Uncertain,Uncertain → False,1,"If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, then x is taller than z
Peter is a man who is taller than Michael.
Michael ca",Peter is shorter than a man in Michael's class.,FORMALIZE_INCORRECTLY,"The premise 'Michael is taller than everyone else in his class' is incorrectly formalized. The axiom 'Michael_tallest_in_class' does not account for the possibility of Michael being the only person in his class, which would make the conclusion false.",N/A
46,456,159,True,Uncertain,Uncertain → True,1,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,FORMALIZE_INCORRECTLY,"The axiom for the rule about students wanting a long vacation is incorrectly formalized. It requires both being a student and wanting a long vacation, but the premises only state that wanting a long vacation is sufficient for summer to be the favorite season.",N/A
118,440,151,True,Uncertain,Uncertain → True,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",There is at least one cove in Antarctica named after a place in Bulgaria.,FORMALIZE_INCORRECTLY,"The premise 'Antarctica is located on the South Shetland Islands' is incorrectly translated. The axiom T7 should reflect that the South Shetland Islands are located in Antarctica, not the other way around.",N/A
119,441,151,False,Uncertain,Uncertain → False,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",Barutin Cove is not located in Antarctica.,FORMALIZE_INCORRECTLY,The premise that Antarctica is located on the South Shetland Islands is incorrectly translated. It should be that the South Shetland Islands are located in Antarctica.,N/A
122,787,315,False,Uncertain,Uncertain → False,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is a Solo EV.,FORMALIZE_INCORRECTLY,"The premise 'If John's car is not a Tesla Model 3, then John's car is not a Tesla Model 3 or a single-seat electric car' is incorrectly formalized. The axiom A5 does not correctly capture the intended logical structure of the premise.",N/A
123,788,315,True,Uncertain,Uncertain → True,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is not a Solo EV.,FORMALIZE_INCORRECTLY,The premise about John's car is incorrectly formalized. The axiom A5 does not correctly capture the logical structure of the premise.,N/A
127,846,330,False,Uncertain,Uncertain → False,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John has a larger family.,FORMALIZE_INCORRECTLY,"The premise 'If John is engaged, then John does not invite friends to their ceremony and make wedding plans' is incorrectly formalized. It should be 'If John is engaged, then John does not invite friends to their ceremony and does not make wedding plans.'",N/A
128,847,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John does not have a larger family.,FORMALIZE_INCORRECTLY,"The premise 'If John is engaged, then John does not invite friends to their ceremony and make wedding plans' is incorrectly formalized. It should be 'If John is engaged, then John does not invite friends to their ceremony or make wedding plans'.",N/A
202,308,101,Uncertain,True,True → Uncertain,1,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,FORMALIZE_INCORRECTLY,"The axiom 'alias' incorrectly equates Ailton and AiltonSilva, leading to a misinterpretation of the premises.",N/A
130,849,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John neither has a larger family nor does he invite others to his wedding.,FORMALIZE_INCORRECTLY,"The premise about John not inviting friends and making plans if engaged is incorrectly formalized. It should be about not inviting others, not friends.",N/A
